Game,Team,Opponent,Win_Loss,Runs,Runs Allowed,Day_Night,Attendance,Team,HR Count
17,ARI,SDP,Loss,1,4,Night,17831,ARI,0
15,ATL,WSN,Loss,2,3,Night,27498,ATL,0
14,BAL,CIN,Win,2,1,Night,11910,BAL,1
16,BOS,TOR,Win,4,1,Day,44283,BOS,0
16,CIN,BAL,Loss,1,2,Night,11910,CIN,1
15,CLE,MIN,Win,6,2,Day,17339,CLE,0
15,DET,TBR,Loss,1,8,Day,13267,DET,1
16,HOU,LAA,Win,2,1,Day,23173,HOU,2
15,KCR,TEX,Loss,0,1,Night,26898,KC,0
17,LAA,HOU,Loss,1,2,Day,23173,LAA,1
17,MIL,STL,Win,7,5,Night,26451,MIL,3
15,MIN,CLE,Loss,2,6,Day,17339,MIN,0
16,NYM,PHI,Loss,4,6,Night,24656,NYM,1
16,OAK,SEA,Win,9,6,Night,10707,OAK,1
15,PHI,NYM,Win,6,4,Night,24656,PHI,1
17,SDP,ARI,Win,4,1,Night,17831,SD,2
17,SEA,OAK,Loss,6,9,Night,10707,SEA,1
16,STL,MIL,Loss,5,7,Night,26451,STL,2
17,TBR,DET,Win,8,1,Day,13267,TB,3
16,TEX,KCR,Win,1,0,Night,26898,TEX,0
15,TOR,BOS,Loss,1,4,Day,44283,TOR,1
15,WSN,ATL,Win,3,2,Night,27498,WSH,1
18,ARI,LAD,Win,13,5,Night,27018,ARI,1
16,ATL,PHI,Loss,3,4,Night,24189,ATL,2
15,BAL,BOS,Win,2,0,Night,34442,BAL,1
17,BOS,BAL,Loss,0,2,Night,34442,BOS,0
